F,SD,SB,SC,SE
110,97.28260869565217,89.42687747035573,0.0,99.1600790513834
111,97.30664689893749,89.30071658018285,0.0,99.13516184828268
112,97.33069698467622,89.29807217004449,0.0,99.13494809688581
113,97.35475896168109,89.17181705809641,0.0,99.13473423980223
114,97.37883283877349,89.11968348170129,0.0,99.13452027695351
115,97.40291862478358,89.11699233242642,0.0,99.06010388325501
116,97.40227610094013,89.06481939633845,0.0,99.05987135081642
117,97.25315515961395,88.83939618906211,0.0,99.05963870329127
118,97.27722772277228,88.83663366336634,0.0,99.05940594059406
119,97.30131220599158,88.73483535528597,0.0,99.05917306263926
120,97.32540861812778,88.60822189202575,0.0,99.05894006934126
121,97.34951696804558,88.50631657171166,0.0,99.05870696061432
122,97.24975222993062,88.37958374628344,0.0,99.05847373637265
123,97.27385377942998,88.37670384138785,0.0,99.05824039653037
124,97.27317798710956,88.34903321764997,0.0,99.0580069410015
125,97.29729729729729,88.34614430944706,0.0,99.05777336969997
126,97.32142857142857,88.31845238095238,0.0,99.0079365079365
127,97.34557181840734,88.26593897295956,0.0,98.98288265938973
128,97.34491315136476,88.06451612903226,0.0,98.98263027295286
129,97.36907421196327,88.01191362620997,0.0,98.93273765202284
130,97.36842105263158,87.95928500496524,0.0,98.93247269116186
131,97.34293518748449,87.93146262726596,0.0,98.93220759870871
132,97.2180824639841,87.9284649776453,0.0,98.93194237456532
133,97.24223602484471,87.80124223602485,0.0,98.93167701863354
134,97.24155069582505,87.74850894632206,0.0,98.93141153081511
135,96.8928660203828,87.74546358438975,0.0,98.93114591101168
136,96.86723023371457,87.74241670810542,0.0,98.93088015912481
137,96.89132056702313,87.46580452623725,0.0,98.93061427505596
138,96.91542288557214,87.46268656716418,0.0,98.93034825870647
139,96.93953719830803,87.40980343368997,0.0,98.9300821099776
140,96.96366351418617,87.18267794922848,0.0,98.92981582877053
141,96.91311924321633,87.03012198157829,0.0,98.8050784167289
142,96.68824701195219,86.97709163346613,0.0,98.80478087649402
143,96.68742216687423,86.52552926525529,0.0,98.77957658779576
144,96.56203288490283,86.52217239661186,0.0,98.77927254608869
145,96.56117617742338,86.51881385497134,0.0,98.77896835285323
146,96.56031904287138,86.51545363908275,0.0,98.77866400797608
147,96.55946148092745,86.51209174769384,0.0,98.70356519571179
148,96.33416458852868,86.45885286783043,0.0,98.70324189526184
149,96.33325018707907,86.40558742828635,0.0,98.70291843352457
150,95.75848303393214,86.37724550898204,0.0,98.67764471057885
151,95.75742450711255,86.37384576990267,0.0,98.67731469927627
152,95.65651522715926,86.2955566650025,0.0,98.67698452321518
153,95.63046192259675,86.14232209737828,0.0,98.4769038701623
154,95.12987012987013,86.13886113886115,0.0,98.47652347652348
155,95.10367224581564,86.0854359230577,0.0,98.37621783662253
156,95.00249875062468,85.90704647676162,0.0,98.4007996001999
157,95.00124968757811,85.72856785803549,0.0,98.4253936515871
158,94.95,85.675,0.0,98.425
159,94.92373093273318,85.54638659664916,0.0,98.42460615153789
160,94.92246123061531,85.51775887943973,0.0,98.42421210605302
161,94.92119089316988,85.48911683762822,0.0,98.42381786339755
